"Product SKU";"Name";"Category";"Wholesale price";"EAN";"Variation";"Variation SKU";"Width";"Height";"Quantity";"Description";"Main image"
"2083-911";"Aleccia";"Shoes";"11.48";"3831125015139";"Size - 36";"2083-911-17066";"";"";"182";"Aleccia - Comfortable women's sandals. Comfortable and airy steps throughout the summer! The ergonomic model with a small platform provides great support for your feet. The beautiful design fits into all clothing combinations.. Comfort and safety at every step. The sole made of non-slip rubber material makes walking on slippery surfaces safer. Faux leather insoles provide comfort at every step.. Wearable on various occasions. Whether you go for a walk, to the beach or something like that, with their comfort and contemporary design Aleccia sandals fit perfectly into all elegant and sporty clothing combinations.. Gentle feeling on my feet. Soft and delicate material is the main trump card of this great model. You will enjoy summer walks, without straining, tingling and discomfort.. Protect your heels. A small platform lifts your heels off the ground, reducing pressure and the appearance of pain while walking. Adjustable velcro strap will adjust to your heels and prevent itching.. Dry feet all day. It is important that your feet stay dry even in high heat. The breathable Aleccia sandal material will prevent your feet from sweating and allow your skin to breathe..";"https://zoho-site.com/cdn/img/566183.jpg"
"2083-911";"Aleccia";"Shoes";"11.48";"3831125015146";"Size - 37";"2083-911-17067";"";"";"300";"Aleccia - Comfortable women's sandals. Comfortable and airy steps throughout the summer! The ergonomic model with a small platform provides great support for your feet. The beautiful design fits into all clothing combinations.. Comfort and safety at every step. The sole made of non-slip rubber material makes walking on slippery surfaces safer. Faux leather insoles provide comfort at every step.. Wearable on various occasions. Whether you go for a walk, to the beach or something like that, with their comfort and contemporary design Aleccia sandals fit perfectly into all elegant and sporty clothing combinations.. Gentle feeling on my feet. Soft and delicate material is the main trump card of this great model. You will enjoy summer walks, without straining, tingling and discomfort.. Protect your heels. A small platform lifts your heels off the ground, reducing pressure and the appearance of pain while walking. Adjustable velcro strap will adjust to your heels and prevent itching.. Dry feet all day. It is important that your feet stay dry even in high heat. The breathable Aleccia sandal material will prevent your feet from sweating and allow your skin to breathe..";"https://zoho-site.com/cdn/img/566183.jpg"
"2083-911";"Aleccia";"Shoes";"11.48";"3831125015153";"Size - 38";"2083-911-17068";"";"";"510";"Aleccia - Comfortable women's sandals. Comfortable and airy steps throughout the summer! The ergonomic model with a small platform provides great support for your feet. The beautiful design fits into all clothing combinations.. Comfort and safety at every step. The sole made of non-slip rubber material makes walking on slippery surfaces safer. Faux leather insoles provide comfort at every step.. Wearable on various occasions. Whether you go for a walk, to the beach or something like that, with their comfort and contemporary design Aleccia sandals fit perfectly into all elegant and sporty clothing combinations.. Gentle feeling on my feet. Soft and delicate material is the main trump card of this great model. You will enjoy summer walks, without straining, tingling and discomfort.. Protect your heels. A small platform lifts your heels off the ground, reducing pressure and the appearance of pain while walking. Adjustable velcro strap will adjust to your heels and prevent itching.. Dry feet all day. It is important that your feet stay dry even in high heat. The breathable Aleccia sandal material will prevent your feet from sweating and allow your skin to breathe..";"https://zoho-site.com/cdn/img/566183.jpg"
"2083-911";"Aleccia";"Shoes";"11.48";"3831125015160";"Size - 39";"2083-911-17069";"";"";"533";"Aleccia - Comfortable women's sandals. Comfortable and airy steps throughout the summer! The ergonomic model with a small platform provides great support for your feet. The beautiful design fits into all clothing combinations.. Comfort and safety at every step. The sole made of non-slip rubber material makes walking on slippery surfaces safer. Faux leather insoles provide comfort at every step.. Wearable on various occasions. Whether you go for a walk, to the beach or something like that, with their comfort and contemporary design Aleccia sandals fit perfectly into all elegant and sporty clothing combinations.. Gentle feeling on my feet. Soft and delicate material is the main trump card of this great model. You will enjoy summer walks, without straining, tingling and discomfort.. Protect your heels. A small platform lifts your heels off the ground, reducing pressure and the appearance of pain while walking. Adjustable velcro strap will adjust to your heels and prevent itching.. Dry feet all day. It is important that your feet stay dry even in high heat. The breathable Aleccia sandal material will prevent your feet from sweating and allow your skin to breathe..";"https://zoho-site.com/cdn/img/566183.jpg"
"2083-911";"Aleccia";"Shoes";"11.48";"3831125015177";"Size - 40";"2083-911-17070";"";"";"407";"Aleccia - Comfortable women's sandals. Comfortable and airy steps throughout the summer! The ergonomic model with a small platform provides great support for your feet. The beautiful design fits into all clothing combinations.. Comfort and safety at every step. The sole made of non-slip rubber material makes walking on slippery surfaces safer. Faux leather insoles provide comfort at every step.. Wearable on various occasions. Whether you go for a walk, to the beach or something like that, with their comfort and contemporary design Aleccia sandals fit perfectly into all elegant and sporty clothing combinations.. Gentle feeling on my feet. Soft and delicate material is the main trump card of this great model. You will enjoy summer walks, without straining, tingling and discomfort.. Protect your heels. A small platform lifts your heels off the ground, reducing pressure and the appearance of pain while walking. Adjustable velcro strap will adjust to your heels and prevent itching.. Dry feet all day. It is important that your feet stay dry even in high heat. The breathable Aleccia sandal material will prevent your feet from sweating and allow your skin to breathe..";"https://zoho-site.com/cdn/img/566183.jpg"
"2083-911";"Aleccia";"Shoes";"11.48";"3831125015184";"Size - 41";"2083-911-17071";"";"";"301";"Aleccia - Comfortable women's sandals. Comfortable and airy steps throughout the summer! The ergonomic model with a small platform provides great support for your feet. The beautiful design fits into all clothing combinations.. Comfort and safety at every step. The sole made of non-slip rubber material makes walking on slippery surfaces safer. Faux leather insoles provide comfort at every step.. Wearable on various occasions. Whether you go for a walk, to the beach or something like that, with their comfort and contemporary design Aleccia sandals fit perfectly into all elegant and sporty clothing combinations.. Gentle feeling on my feet. Soft and delicate material is the main trump card of this great model. You will enjoy summer walks, without straining, tingling and discomfort.. Protect your heels. A small platform lifts your heels off the ground, reducing pressure and the appearance of pain while walking. Adjustable velcro strap will adjust to your heels and prevent itching.. Dry feet all day. It is important that your feet stay dry even in high heat. The breathable Aleccia sandal material will prevent your feet from sweating and allow your skin to breathe..";"https://zoho-site.com/cdn/img/566183.jpg"
"1969-911";"Comforto";"Clothes";"5.09";"3831125004775";"Size - 75A (36)";"1969-911-16620";"";"";"375";"Extremely comfortable bra Comforto. Specially designed to fit a larger size and give you the support you crave. Comfortable and discreet bra with a push up effect. Forget about uncomfortable bras that itch and paint. With this bra, you will shine in every piece of clothing and enchant with your gorgeous cleavage.. BREATHING DECOLLET. Inspired by gorgeous cleavages from the red carpet, this bra is designed to emphasize your enchanting cleavage.. NO UNWANTED TRACE ON THE SKIN. The spacious front part gives you complete coverage, and at the same time it does not cut and leaves no marks on the skin and under clothing.. FREEDOM OF MOVEMENT WITHOUT STRESS. Four rows of buckles allow you to adjust the bra to suit you best. This way you will have freedom of movement at all times without straining and interfering.. IMPROVE POSITION. The revolutionary bra is designed to put your back in the right position and improve your posture, without squeezing or creating discomfort..";"https://zoho-site.com/cdn/img/399602.jpg"
"1969-911";"Comforto";"Clothes";"5.09";"3831125004782";"Size - 80A (38)";"1969-911-16621";"";"";"411";"Extremely comfortable bra Comforto. Specially designed to fit a larger size and give you the support you crave. Comfortable and discreet bra with a push up effect. Forget about uncomfortable bras that itch and paint. With this bra, you will shine in every piece of clothing and enchant with your gorgeous cleavage.. BREATHING DECOLLET. Inspired by gorgeous cleavages from the red carpet, this bra is designed to emphasize your enchanting cleavage.. NO UNWANTED TRACE ON THE SKIN. The spacious front part gives you complete coverage, and at the same time it does not cut and leaves no marks on the skin and under clothing.. FREEDOM OF MOVEMENT WITHOUT STRESS. Four rows of buckles allow you to adjust the bra to suit you best. This way you will have freedom of movement at all times without straining and interfering.. IMPROVE POSITION. The revolutionary bra is designed to put your back in the right position and improve your posture, without squeezing or creating discomfort..";"https://zoho-site.com/cdn/img/399602.jpg"
"1969-911";"Comforto";"Clothes";"5.09";"3831125004799";"Size - 85A (40)";"1969-911-16622";"";"";"317";"Extremely comfortable bra Comforto. Specially designed to fit a larger size and give you the support you crave. Comfortable and discreet bra with a push up effect. Forget about uncomfortable bras that itch and paint. With this bra, you will shine in every piece of clothing and enchant with your gorgeous cleavage.. BREATHING DECOLLET. Inspired by gorgeous cleavages from the red carpet, this bra is designed to emphasize your enchanting cleavage.. NO UNWANTED TRACE ON THE SKIN. The spacious front part gives you complete coverage, and at the same time it does not cut and leaves no marks on the skin and under clothing.. FREEDOM OF MOVEMENT WITHOUT STRESS. Four rows of buckles allow you to adjust the bra to suit you best. This way you will have freedom of movement at all times without straining and interfering.. IMPROVE POSITION. The revolutionary bra is designed to put your back in the right position and improve your posture, without squeezing or creating discomfort..";"https://zoho-site.com/cdn/img/399602.jpg"
"1969-911";"Comforto";"Clothes";"5.09";"3831125004805";"Size - 90B (42)";"1969-911-16623";"";"";"534";"Extremely comfortable bra Comforto. Specially designed to fit a larger size and give you the support you crave. Comfortable and discreet bra with a push up effect. Forget about uncomfortable bras that itch and paint. With this bra, you will shine in every piece of clothing and enchant with your gorgeous cleavage.. BREATHING DECOLLET. Inspired by gorgeous cleavages from the red carpet, this bra is designed to emphasize your enchanting cleavage.. NO UNWANTED TRACE ON THE SKIN. The spacious front part gives you complete coverage, and at the same time it does not cut and leaves no marks on the skin and under clothing.. FREEDOM OF MOVEMENT WITHOUT STRESS. Four rows of buckles allow you to adjust the bra to suit you best. This way you will have freedom of movement at all times without straining and interfering.. IMPROVE POSITION. The revolutionary bra is designed to put your back in the right position and improve your posture, without squeezing or creating discomfort..";"https://zoho-site.com/cdn/img/399602.jpg"
"1969-911";"Comforto";"Clothes";"5.09";"3831125004812";"Size - 90B (44)";"1969-911-16624";"";"";"513";"Extremely comfortable bra Comforto. Specially designed to fit a larger size and give you the support you crave. Comfortable and discreet bra with a push up effect. Forget about uncomfortable bras that itch and paint. With this bra, you will shine in every piece of clothing and enchant with your gorgeous cleavage.. BREATHING DECOLLET. Inspired by gorgeous cleavages from the red carpet, this bra is designed to emphasize your enchanting cleavage.. NO UNWANTED TRACE ON THE SKIN. The spacious front part gives you complete coverage, and at the same time it does not cut and leaves no marks on the skin and under clothing.. FREEDOM OF MOVEMENT WITHOUT STRESS. Four rows of buckles allow you to adjust the bra to suit you best. This way you will have freedom of movement at all times without straining and interfering.. IMPROVE POSITION. The revolutionary bra is designed to put your back in the right position and improve your posture, without squeezing or creating discomfort..";"https://zoho-site.com/cdn/img/399602.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011827";"Model - Italy, Colour - Black";"2995-911-18832";"";"";"148";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011834";"Model - Romania, Colour - Black";"2995-911-18833";"";"";"147";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011841";"Model - Greece, Colour - Black";"2995-911-18834";"";"";"150";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011858";"Model - Croatia, Colour - Black";"2995-911-18835";"";"";"146";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011865";"Model - Poland, Colour - Black";"2995-911-18836";"";"";"148";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011872";"Model - United States of America, Colour - Black";"2995-911-18837";"";"";"145";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011889";"Model - Ukraine, Colour - Black";"2995-911-18838";"";"";"149";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011896";"Model - Italy, Colour - Blue";"2995-911-18839";"";"";"146";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011902";"Model - Romania, Colour - Blue";"2995-911-18840";"";"";"149";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011919";"Model - Greece, Colour - Blue";"2995-911-18841";"";"";"150";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011926";"Model - Croatia, Colour - Blue";"2995-911-18842";"";"";"150";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011933";"Model - Poland, Colour - Blue";"2995-911-20104";"";"";"148";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011940";"Model - United States of America, Colour - Blue";"2995-911-18843";"";"";"144";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"2995-911";"Topper";"Fashion Accessory";"6.84";"3831125011957";"Model - Ukraine, Colour - Blue";"2995-911-18844";"";"";"147";"Topper — Baseball cap. Show love and loyalty to your country in the most original way! Choose this cap with a self-adhesive sticker of the flag and express pride with your homeland at sports events, different celebrations, or every day. Materials: 80% cotton, 20% polyester. Perfect for sport events. Wear this cap while rooting for your favourite team on sport events. Have fun with friends and show your support on true way!. Protect yourself from the heat. This cap will also be a shield for your eyes and face from direct sunlight while doing sports activities or everyday errands.. Adjustable size. Every cap comes with a hook and a loop, so it fits any head size with ease. You can attach and adjust it for comfortability.. Show a pride with your country. Choose a cap with the flag of your homeland or some other country you love.. Matches any outfit. An indispensable part of casual or sports outfit. The simple design of this cap makes it possible to wear it with various styles and colours..";"https://zoho-site.com/cdn/img/1688209.jpg"
"3003-911";"Spatro";"Gadget";"4.48";"3831125011988";"";"3003-911";"";"";"2063";"Spatro - Rotating and retractable phone holder for car. Never take your eyes off the road again. Enjoy with this car phone holder that mounts securely to vehicle's rearview mirror.. Easily find the right place for your phone. Mount it simply on the rearview mirror and have your phone handy. Don`t struggle anymore with finding the right place to put your phone while driving.. Safer and more pleasant driving. The holder has 360° rotation for adjustment for safe and convenient driving. Adjust it to the angle which will best suit your needs and preferences.. Have a full overview of the road ahead. This model allows you to have the best viewing angle for your phone and won`t block your view. You will see each side of the road and all the traffic participants around you.. Use your phone hands-free. Place your phone in this handy holder and follow GPS instruction while driving. It will sit safely inside the holder, no risk of falling out or getting damaged.. Compatible with most phones. Sturdy holder with four gripping points holds most smartphones available in the market. Make your car rides simple and practical, be it long or short distance..";"https://zoho-site.com/cdn/img/1659677.jpg"
"1281-911";"Armilla";"Jesus";"2.25";"3831125015610";"";"1281-911";"20";"15";"2051";"Handmade rosary. A prayer rosary of unique and handmade that you can carry in your pocket. It is made of beautiful matte beads in black that are strung on a quality brown rope that will not break.. Immortal symbols of protection. The rosary is enriched with unique pendants. At one end is a cross with the crucifix of Jesus, while at the other is a coin with the image of St. Benedict that will protect you wherever you go.. Beautiful archaic look. The rosary contains a beautiful high-quality engraving that gives it an archaic look. Thus, it reminds of extremely valuable antique, old jewelry and is gladly passed down from generation to generation.. For a sense of security and connection with the Creator. Unique jewelry in vintage attire with spiritual and eternal symbols that will protect you while perfectly adorning your wrist.. Clear your mind for true prayers. A specially crafted pearl rosary helps you focus and concentrate on a personal spiritual ritual and better channel your thoughts and desires..";"https://zoho-site.com/cdn/img/1016288.jpg"
"3104-911";"Slaxo";"Home";"6.8";"3831125014088";"";"3104-911";"";"";"2045";"Slaxo – Mini hand warmer, defogger and defroster. The multipurpose car heater makes driving safe in all weather conditions by clearing the windshield from fog and frost, and it warms up your hands at the same time.. Warmth and visibility from one device. You no longer need to depend on your car’s heating system to defog the windows and windshield. Now you’ll quickly have clear view and instant warmth from this practical device.. Set it up in 5 minutes. You can set this heater up in 5 minutes by attaching it to the car dashboard or seat. It is compatible with 12V car power and suitable for small and medium cars, RV`s, and other vehicles.. Adjusts as you need it. Adjust the mini warmer`s angle to meet your needs by rotating it by 360 degrees and also moving it up and down by 90 degrees.. Warm vehicle in 1 minute. This portable heater will heat the space in your car in 1 minute. This is perfect for cold days and poor weather conditions when you need better sight of the road.. Ideal for short and long trips. No matter if you need a cozy atmosphere for long drives or just quick warming up on the way to work, this practical heater will help you. It heats up in seconds and maintains the desired temperature as long as you need it..";"https://zoho-site.com/cdn/img/1877985.jpg"
"2025-911";"Livera - Loveliness";"Perfume";"3.02";"3831125000692";"";"2025-911";"";"";"2045";"Eau de Parfum Livera - Loveliness. Add a scent of mystery wherever your adventures take you! A seductive blend of fruity and floral notes creates a signature fragrance that will put you in the spotlight. Quantity: 100 ml. A distinctive smell. Eau de parfum that leaves a tempting scent throughout the day. This is one of the fragrances by which you will be recognized wherever you appear.. Fragrant notes that conquer. A beautiful blend of fruit, vanilla and rose notes. The sweet-floral fragrance will become your trademark, and by wearing this fragrance you will give your appearance a touch of charm and refinement.. Compact bottle for easy carrying. Extremely decorative perfume bottle with lace details. It matches the scent perfectly, and you can easily store it in your purse to keep it close at hand if you&#39;re on the go or out and about.. Feel special at every moment. Make every moment important and special. Just a few drops of Livera - Loveliness eau de parfum will make important events remain in the memory as fragrant memories.. A formula that intoxicates all the senses. This fragrance will first enchant you with the top notes of white lily, while the base notes strongly exude patchouli and sandalwood. An unforgettable combination that radiates freshness..";"https://zoho-site.com/cdn/img/504826.jpg"
"2642-911";"Flecker";"DIY";"8.75";"3831125008278";"Colour - Black";"2642-911-18666";"";"";"999";"Flecker – Furniture repair fabric. Do not spend money on expensive restoration or buying new furniture. Quickly and easily cover any damaged area and restore your furniture to perfect condition with strong adhesive furniture repair fabric.. Customize it to your needs. With a pair of scissors you can cut this 75 x 180 cm fabric to any dimensions you need. The furniture repair fabric adjusts easily to a number of surfaces and shapes.. Simple fix for different furniture and surfaces. Use it to patch up holes or scratches on sofas and chairs, but also on car and bike seats, bags, clothes and shoes. It will take just a few minutes - cut, peel off the protective layer and stick it to the surface.. Lasting and seam-free repair. Faux leather 0,8 mm thick is scratch and water proof and it adheres strongly to the surface, no additional glue is needed. It does not move, rip, comes off and it is not sensitive to different temperatures.. Suited for all types of leather and materials. You can use it on real leather, faux leather or other materials. It will also stick firmly to wood, plastic or other surfaces and it is the best alternative to expensive furniture upholstering.. No special skills needed. Anyone can use this practical repair fabric. You just need a tape measure - to measure the size of the hole and a pair of scissors - to cut the fabric, after that you simply attach it to the spot..";"https://zoho-site.com/cdn/img/1269201.jpg"
"2642-911";"Flecker";"DIY";"8.75";"3831125008292";"Colour - Brown";"2642-911-18667";"";"";"697";"Flecker – Furniture repair fabric. Do not spend money on expensive restoration or buying new furniture. Quickly and easily cover any damaged area and restore your furniture to perfect condition with strong adhesive furniture repair fabric.. Customize it to your needs. With a pair of scissors you can cut this 75 x 180 cm fabric to any dimensions you need. The furniture repair fabric adjusts easily to a number of surfaces and shapes.. Simple fix for different furniture and surfaces. Use it to patch up holes or scratches on sofas and chairs, but also on car and bike seats, bags, clothes and shoes. It will take just a few minutes - cut, peel off the protective layer and stick it to the surface.. Lasting and seam-free repair. Faux leather 0,8 mm thick is scratch and water proof and it adheres strongly to the surface, no additional glue is needed. It does not move, rip, comes off and it is not sensitive to different temperatures.. Suited for all types of leather and materials. You can use it on real leather, faux leather or other materials. It will also stick firmly to wood, plastic or other surfaces and it is the best alternative to expensive furniture upholstering.. No special skills needed. Anyone can use this practical repair fabric. You just need a tape measure - to measure the size of the hole and a pair of scissors - to cut the fabric, after that you simply attach it to the spot..";"https://zoho-site.com/cdn/img/1269201.jpg"
